dimension,h0,method,acceptance,acceptance_se,mean_waiting_time
25,0.8,Fixed step,0.004922233293819022,3.208131899910765e-05,203.15981391124356
25,0.8,Randomized step,0.30350970605314787,0.0011946767923061861,3.294787547337577
50,0.565685424949238,Fixed step,0.0013511470865941542,8.014698574815953e-06,740.1118722912003
50,0.565685424949238,Randomized step,0.27551973952675307,0.00118398257586067,3.6295040120089097
100,0.4,Fixed step,0.0002769810147434682,1.5049498833493543e-06,3610.3557528163838
100,0.4,Randomized step,0.24559409736406823,0.0011609503518344713,4.071759096545394
200,0.282842712474619,Fixed step,3.4015357383038865e-05,1.744879044982799e-07,29398.485770390045
200,0.282842712474619,Randomized step,0.2176461019549261,0.0011300993814255167,4.594614794466189
400,0.2,Fixed step,1.9440273410384353e-06,9.574151574551686e-09,514396.0575502158
400,0.2,Randomized step,0.19041914086807626,0.001089177846860147,5.2515729009239
